event,year
2000- AOL Purchases Time Warner ,2000
2000- USS Cole Attacked ,2000
2000-Hilary Clinton Elected to Senate ,2000
2000-George W Bush Elected President ,2000
2001- Large Tax Cut Passed ,2001
2001-9/11Attack on New York and Washington ,2001
2001-U.S. and Great Britain Attack Afghanistan ,2001
2001- Anthrax Attacks U.S. ,2001
2001-Enron Bankruptcy ,2001
2002-Congress Authorizes Force Against Iraq ,2002
2002- United Airlines Files For Bankruptcy ,2002
2003- Shuttle Explodes on Reentry ,2003
2003- U.S. Invades Iraq ,2003
2003- Blackout in Northeast ,2003
2004-Abu Gharib Prison Abuse ,2004
2004- 9/11 Commission ,2004
2004- President Bush Reelected ,2004
2005 Hispanic Mayor of Los Angeles ,2005
2005- Hurricane Katrina Devestates Gulf Coast ,2005
2006- Hamadan vs Rumsfeld ,2006
2006- Tesla Roadstar Introduced ,2006
2007- iPhone Introduced ,2007
2007- Virginia Tech Shooting ,2007
2008 Barak Obama to be Democratic Candidate ,2008
2008 Lehman Brothers Declares Bankruptcy ,2008
2008 Barak Obama Wins the Presidency> ,2008
2009- Barak Obama Inaugurated President ,2009
2009- General Motors Declares Bankruptcy ,2009
2009-President Obama Announces Troop Surge ,2009
2010 Affordable Care Act Passed ,2010
2010 Elana Kagan Fourth Female Justice ,2010
2010 US Combat Mission Ends in Iraq ,2010
2011 Osama Bin Laden Killed by US Forces ,2011
2012 Hurricane Sandy ,2012
2012 Obama Reelected ,2012
2013 Boston Marathon Bombing ,2013
2014 Janet Yellen to Head Federal Reserve ,2014
2015 Charleston Church Shooting ,2015
2015 Supreme Court - Same Sex Marriage ,2015
2016-Donald Trump Elected ,2016
2017- FBI Director Fired ,2017
2017- Equifax Data Breach ,2017
2018- Trump Leaves Iran Nuclear Accord ,2018
2018-Contentious G7 Meeting ,2018
2018-US North Korean Summit ,2018
2018-12 Russian GRU Officers Indicted ,2018
2018-Trump Putin Meet in Helesinki ,2018
2018-Cohen and Manafort Guilty ,2018
2018-Only 30000 Refugees to be admitted in 2017 ,2018
2018-Trump Addresses UN ,2018
2018-Brett Kavanaugh Confirmed to the Supreme Court ,2018
2018-Massacre at Synagogue in Pittsburgh ,2018
2018-Midterm Elections ,2018
2018-Mattis Resigns After Trump Announcement on Syria ,2018
2019-Nancy Pelosi Speaker ,2019
2019-Government Shut Down Ends after 35 Days ,2019
2019-Mueller Report Released on Trump and Russia ,2019
2019-House Votes to Impeach President Trump ,2019
2020-COVID-19 Spreads Around the World ,2020
2020-Vice President Biden Becomes Presumptive Democratic Nominee ,2020
2020-Space-X Launches Astronauts to Space Station ,2020
2020-Former Vice President Biden Elected President ,2020
2021-Insurrection in Washington- The Capitol is Attacked ,2021
2021-Second Impeachment Trial of Donald Trump ,2021
2021-2020 Census Data Released ,2021
2021- Taliban Victorious in Afghanistan US Evacuates 122000 ,2021
2022- Supreme Court Rules on Vaccine Mandates ,2022
1951- US boxer Sugar Ray Robinson beats Jake Lamotta to take the middleweight title (for the first of five times),1951
1952- George VI dies and is succeeded by his elder daughter as Elizabeth II,1952
1953- Samuel Beckett's play Waiting for Godot('En attendant Godot') is first performed in French in Paris,1953
1954- Baseball star Joe Dimaggio marries Marilyn Monroe but the marriage lasts only a year,1954
1955- Michael Tippett's first opera A Midsummer Marriage has its premiere at Covent Garden,1955
1956- Civil war breaks out in Sudan between the Muslim north and the Christian south,1956
1957- Anthony Eden resigns as UK prime minister after the fiasco of the Suez Crisis and is succeeded by Harold Macmillan,1957
1958- Egypt and Syria merge as the United Arab Republic (but disengage three years later),1958
1959- Fidel Castro begins more than four decades of authoritarian rule in Cuba,1959
1960- UK prime minister Harold Macmillan in Cape Town warns the white settlers of Africa that 'the wind of change' is blowing through their continent,1960
1961- President Kennedy appoints his younger brother Robert to the position of US attorney-general,1961
1962- Sean Connery creates on screen the role of 007 in the first James Bond film Dr No,1962
1963- US poet Sylvia Plath publishes under a pseudonym her only novel The Bell Jar,1963
1964- Pope Paul VI and Patriarch Athenagoras meet in Jerusalem in the first such meeting since 1438,1964
1965- A royal proclamation formally establishes the new national flag of Canada,1965
1966- Nehru's daughter Indira Gandhi becomes India's prime minister as leader of the Congress party,1966
1967- Mike Nicholls directs Anne Bancroft and Dustin Hoffman in the film The Graduate,1967
1968- Alexander Dubcek becomes first secretary of the Czechoslovak Communist party following pressure for reform from party intellectuals,1968
1969- At a congress in Cairo Yasser Arafat is appointed leader of the Palestine Liberation Organization (PLO),1969
1970- US author Maya Angelou publishes her autobiographical first novel I Know Why the Caged Bird Sings,1970
1971- The Dance Theatre of Harlem founded by Arthur Mitchell and Karel Shook gives its first performance at the Guggenheim Museum in New York,1971
