titleId,ordering,title,regionclanguage,types,attributes,isOriginalTitle
tt0000001,6,Carmencita,USc\N,imdbDisplay,\N,0
tt0000002,7,The Clown and His Dogs,USc\N,\N,literal English title,0
tt0000005,10,Blacksmith Scene,USc\N,imdbDisplay,\N,0
tt0000005,1,Blacksmithing Scene,USc\N,alternative,\N,0
tt0000005,6,Blacksmith Scene #1,USc\N,alternative,\N,0
tt0000005,7,Blacksmithing,USc\N,\N,informal alternative title,0
tt0000006,3,Chinese Opium Den,USc\N,imdbDisplay,\N,0
tt0000007,1,Corbett and Courtney Before the Kinetograph,USc\N,imdbDisplay,\N,0
tt0000007,5,The Corbett-Courtney Fight,USc\N,alternative,\N,0
tt0000007,6,Jim Corbett vs. Peter Courtney,USc\N,alternative,\N,0
tt0000008,3,Edison Kinetoscopic Record of a Sneeze January 7 1894,USc\N,\N,complete title,0
tt0000008,4,Edison Kinetoscopic Record of a Sneeze,USc\N,imdbDisplay,\N,0
tt0000008,8,The Films of Thomas A Edison presented by Raymond Rohauer,USc\N,\N,reissue title,0
tt0000009,4,Miss Jerry,USc\N,imdbDisplay,\N,0
tt0000010,16,Exiting the Factory,USc\N,imdbDisplay,\N,0
tt0000010,21,Leaving the Factory,USc\N,imdbDisplay,\N,0
tt0000010,3,Employees Leaving the Lumière Factory,USc\N,alternative,\N,0
tt0000010,8,Workers Leaving the Lumière Factory,USc\N,imdbDisplay,\N,0
tt0000012,1,The Arrival of a Train,USc\N,imdbDisplay,\N,0
tt0000012,3,The Arrival of the Mail Train,USc\N,alternative,\N,0
tt0000013,7,The Photographical Congress Arrives in Lyon,USc\N,imdbDisplay,\N,0
tt0000014,11,The Sprayer Sprayed,USc\N,alternative,\N,0
tt0000014,15,The Waterer Watered,USc\N,imdbDisplay,\N,0
tt0000014,1,The Sprinkler Sprinkled,USc\N,imdbDisplay,\N,0
tt0000014,2,Tables Turned on the Gardener,USc\N,alternative,\N,0
tt0000015,3,Around a Bathing Hut,USc\N,\N,literal English title,0
tt0000016,8,Boat Leaving the Port,USc\N,imdbDisplay,\N,0
tt0000022,1,The Blacksmiths,USc\N,\N,literal English title,0
tt0000022,7,Blacksmith Scene,USc\N,\N,\N,0
tt0000023,5,The Sea,USc\N,imdbDisplay,\N,0
tt0000026,5,The Messers. Lumière at Cards,USc\N,\N,\N,0
tt0000027,3,Cordeliers' Square in Lyon,USc\N,imdbDisplay,\N,0
tt0000028,9,Fishing for Goldfish,USc\N,imdbDisplay,\N,0
tt0000029,1,Baby's Dinner,USc\N,\N,\N,0
tt0000029,24,Baby's Lunch,USc\N,\N,original script title,0
tt0000029,2,Feeding the Baby,USc\N,\N,\N,0
tt0000029,9,Baby's Meal,USc\N,imdbDisplay,\N,0
tt0000031,7,Jumping the Blanket,USc\N,imdbDisplay,\N,0
tt0000033,10,Trick Riding,USc\N,\N,\N,0
tt0000033,8,Horse Trick Riders,USc\N,imdbDisplay,\N,0
tt0000035,4,Watering the Flowers,USc\N,\N,\N,0
tt0000036,1,Awakening of Rip,USc\N,imdbDisplay,\N,0
tt0000037,1,Sea Bathing,USc\N,imdbDisplay,\N,0
tt0000038,2,The Ball Game,USc\N,imdbDisplay,\N,0
tt0000040,1,Boat Leaving the Harbor at Trouville,USc\N,\N,literal English title,0
tt0000041,1,Snowball Fight,USc\N,\N,informal English title,0
tt0000045,4,The Washerwomen,USc\N,\N,literal English title,0
tt0000048,1,The Boxing Kangaroo,USc\N,imdbDisplay,\N,0
tt0000050,3,Baby and Young Girls,USc\N,\N,literal English title,0
tt0000051,1,The Bohemian Encampment,USc\N,\N,\N,0
tt0000051,2,Gypsies at Home,USc\N,\N,literal English title,0
tt0000054,1,A Merry-Go-Round,USc\N,\N,\N,0
tt0000059,1,Coronation of a Village Maiden,USc\N,\N,\N,0
tt0000060,2,Dancing Darkies,USc\N,imdbDisplay,\N,0
tt0000067,2,Conjurer Making Ten Hats in Sixty Seconds,USc\N,\N,\N,0
tt0000068,1,Unloading the Boat,USc\N,\N,\N,0
tt0000069,1,Post No Bills,USc\N,\N,\N,0
tt0000069,3,Defense Show,USc\N,\N,literal English title,0
tt0000070,3,Demolition of a Wall,USc\N,imdbDisplay,\N,0
tt0000071,1,Automobiles Starting a Race,USc\N,imdbDisplay,\N,0
tt0000072,1,Officers of French Army Leaving Service,USc\N,imdbDisplay,\N,0
tt0000075,7,The Conjuring of a Woman at the House of Robert Houdin,USc\N,\N,\N,0
tt0000076,2,Rip and the Dwarf,USc\N,\N,copyright title,0
tt0000076,3,Exit of Rip and the Dwarf,USc\N,imdbDisplay,\N,0
tt0000081,3,Towing a Boat on the River,USc\N,imdbDisplay,\N,0
tt0000082,1,A Hard Wash,USc\N,imdbDisplay,\N,0
