titleid,rating,title,isAdult,startYear,runtimeMinutes,genres
tt0000001Carmencita,5.7,Carmencita,0,1894,1,Documentary
tt0000002Le clown et ses chiens,5.9,Le clown et ses chiens,0,1892,5,Animation
tt0000003Pauvre Pierrot,6.5,Pauvre Pierrot,0,1892,4,Animation
tt0000004Un bon bock,5.8,Un bon bock,0,1892,12,Animation
tt0000005Blacksmith Scene,6.2,Blacksmith Scene,0,1893,1,Comedy
tt0000006Chinese Opium Den,5.2,Chinese Opium Den,0,1894,1,Short
tt0000007Corbett and Courtney Before the Kinetograph,5.5,Corbett and Courtney Before the Kinetograph,0,1894,1,Short
tt0000008Edison Kinetoscopic Record of a Sneeze,5.4,Edison Kinetoscopic Record of a Sneeze,0,1894,1,Documentary
tt0000009Miss Jerry,5.4,Miss Jerry,0,1894,40,Romance
tt0000010Leaving the Factory,6.9,Leaving the Factory,0,1895,1,Documentary
tt0000011Akrobatisches Potpourri,5.3,Akrobatisches Potpourri,0,1895,1,Documentary
tt0000012The Arrival of a Train,7.4,The Arrival of a Train,0,1896,1,Documentary
tt0000013The Photographical Congress Arrives in Lyon,5.7,The Photographical Congress Arrives in Lyon,0,1895,1,Documentary
tt0000014The Waterer Watered,7.1,The Waterer Watered,0,1895,1,Comedy
tt0000015Autour d'une cabine,6.2,Autour d'une cabine,0,1894,2,Animation
tt0000016Boat Leaving the Port,5.9,Boat Leaving the Port,0,1895,1,Documentary
tt0000017Italienischer Bauerntanz,4.6,Italienischer Bauerntanz,0,1895,1,Documentary
tt0000018Das boxende Känguruh,5.3,Das boxende Känguruh,0,1895,1,Short
tt0000019The Clown Barber,5.2,The Clown Barber,0,1898,\N,Comedy
tt0000020The Derby 1895,4.8,The Derby 1895,0,1895,1,Documentary
tt0000022Blacksmith Scene,5.1,Blacksmith Scene,0,1895,1,Documentary
tt0000023The Sea,5.7,The Sea,0,1895,1,Documentary
tt0000024Opening of the Kiel Canal,4.4,Opening of the Kiel Canal,0,1895,\N,News
tt0000025The Oxford and Cambridge University Boat Race,4.3,The Oxford and Cambridge University Boat Race,0,1895,\N,News
tt0000026The Messers. Lumière at Cards,5.7,The Messers. Lumière at Cards,0,1896,1,Documentary
tt0000027Cordeliers' Square in Lyon,5.6,Cordeliers' Square in Lyon,0,1895,1,Documentary
tt0000028Fishing for Goldfish,5.1,Fishing for Goldfish,0,1895,1,Documentary
tt0000029Baby's Meal,5.9,Baby's Meal,0,1895,1,Documentary
tt0000030Rough Sea at Dover,5.2,Rough Sea at Dover,0,1895,1,Documentary
tt0000031Jumping the Blanket,5.5,Jumping the Blanket,0,1895,1,Documentary
tt0000032Die Serpentintänzerin,5,Die Serpentintänzerin,0,1895,1,Short
tt0000033Horse Trick Riders,5.5,Horse Trick Riders,0,1895,1,Comedy
tt0000034Arrivée d'un train gare de Vincennes,5,Arrivée d'un train gare de Vincennes,0,1896,1,Documentary
tt0000035Watering the Flowers,5.5,Watering the Flowers,0,1896,1,Comedy
tt0000036Awakening of Rip,4.4,Awakening of Rip,0,1896,0,Drama
tt0000037Sea Bathing,4.4,Sea Bathing,0,1896,1,Short
tt0000038The Ball Game,4.2,The Ball Game,0,1898,\N,Documentary
tt0000039Barnet Horse Fair,3.6,Barnet Horse Fair,0,1896,\N,Short
tt0000040Barque sortant du port de Trouville,4.4,Barque sortant du port de Trouville,0,1896,\N,Documentary
tt0000041Bataille de neige,6.8,Bataille de neige,0,1897,1,Comedy
tt0000042Bateau-mouche sur la Seine,4.2,Bateau-mouche sur la Seine,0,1896,\N,Documentary
tt0000043Batteuse à vapeur,3.6,Batteuse à vapeur,0,1896,\N,Documentary
tt0000044Le bivouac,4.1,Le bivouac,0,1896,1,Short
tt0000045Les blanchisseuses,4.1,Les blanchisseuses,0,1896,\N,Short
