titleId,ordering,title,region,language,types,attributes,isOriginalTitle
Carmencitatt0000001,Carmencita,US,\N,imdbDisplay,\N,0
The Clown and His Dogstt0000002,The Clown and His Dogs,US,\N,\N,literal English title,0
Blacksmith Scenett0000005,Blacksmith Scene,US,\N,imdbDisplay,\N,0
Blacksmithing Scenett0000005,Blacksmithing Scene,US,\N,alternative,\N,0
Blacksmith Scene #1tt0000005,Blacksmith Scene #1,US,\N,alternative,\N,0
Blacksmithingtt0000005,Blacksmithing,US,\N,\N,informal alternative title,0
Chinese Opium Dentt0000006,Chinese Opium Den,US,\N,imdbDisplay,\N,0
Corbett and Courtney Before the Kinetographtt0000007,Corbett and Courtney Before the Kinetograph,US,\N,imdbDisplay,\N,0
The Corbett-Courtney Fighttt0000007,The Corbett-Courtney Fight,US,\N,alternative,\N,0
Jim Corbett vs. Peter Courtneytt0000007,Jim Corbett vs. Peter Courtney,US,\N,alternative,\N,0
Edison Kinetoscopic Record of a Sneeze January 7 1894tt0000008,Edison Kinetoscopic Record of a Sneeze January 7 1894,US,\N,\N,complete title,0
Edison Kinetoscopic Record of a Sneezett0000008,Edison Kinetoscopic Record of a Sneeze,US,\N,imdbDisplay,\N,0
The Films of Thomas A Edison presented by Raymond Rohauertt0000008,The Films of Thomas A Edison presented by Raymond Rohauer,US,\N,\N,reissue title,0
Miss Jerrytt0000009,Miss Jerry,US,\N,imdbDisplay,\N,0
Exiting the Factorytt0000010,Exiting the Factory,US,\N,imdbDisplay,\N,0
Leaving the Factorytt0000010,Leaving the Factory,US,\N,imdbDisplay,\N,0
Employees Leaving the Lumière Factorytt0000010,Employees Leaving the Lumière Factory,US,\N,alternative,\N,0
Workers Leaving the Lumière Factorytt0000010,Workers Leaving the Lumière Factory,US,\N,imdbDisplay,\N,0
The Arrival of a Traintt0000012,The Arrival of a Train,US,\N,imdbDisplay,\N,0
The Arrival of the Mail Traintt0000012,The Arrival of the Mail Train,US,\N,alternative,\N,0
The Photographical Congress Arrives in Lyontt0000013,The Photographical Congress Arrives in Lyon,US,\N,imdbDisplay,\N,0
The Sprayer Sprayedtt0000014,The Sprayer Sprayed,US,\N,alternative,\N,0
The Waterer Wateredtt0000014,The Waterer Watered,US,\N,imdbDisplay,\N,0
The Sprinkler Sprinkledtt0000014,The Sprinkler Sprinkled,US,\N,imdbDisplay,\N,0
Tables Turned on the Gardenertt0000014,Tables Turned on the Gardener,US,\N,alternative,\N,0
Around a Bathing Huttt0000015,Around a Bathing Hut,US,\N,\N,literal English title,0
Boat Leaving the Porttt0000016,Boat Leaving the Port,US,\N,imdbDisplay,\N,0
The Blacksmithstt0000022,The Blacksmiths,US,\N,\N,literal English title,0
Blacksmith Scenett0000022,Blacksmith Scene,US,\N,\N,\N,0
The Seatt0000023,The Sea,US,\N,imdbDisplay,\N,0
The Messers. Lumière at Cardstt0000026,The Messers. Lumière at Cards,US,\N,\N,\N,0
Cordeliers' Square in Lyontt0000027,Cordeliers' Square in Lyon,US,\N,imdbDisplay,\N,0
Fishing for Goldfishtt0000028,Fishing for Goldfish,US,\N,imdbDisplay,\N,0
Baby's Dinnertt0000029,Baby's Dinner,US,\N,\N,\N,0
Baby's Lunchtt0000029,Baby's Lunch,US,\N,\N,original script title,0
Feeding the Babytt0000029,Feeding the Baby,US,\N,\N,\N,0
Baby's Mealtt0000029,Baby's Meal,US,\N,imdbDisplay,\N,0
Jumping the Blankettt0000031,Jumping the Blanket,US,\N,imdbDisplay,\N,0
Trick Ridingtt0000033,Trick Riding,US,\N,\N,\N,0
Horse Trick Riderstt0000033,Horse Trick Riders,US,\N,imdbDisplay,\N,0
Watering the Flowerstt0000035,Watering the Flowers,US,\N,\N,\N,0
Awakening of Riptt0000036,Awakening of Rip,US,\N,imdbDisplay,\N,0
Sea Bathingtt0000037,Sea Bathing,US,\N,imdbDisplay,\N,0
The Ball Gamett0000038,The Ball Game,US,\N,imdbDisplay,\N,0
Boat Leaving the Harbor at Trouvillett0000040,Boat Leaving the Harbor at Trouville,US,\N,\N,literal English title,0
Snowball Fighttt0000041,Snowball Fight,US,\N,\N,informal English title,0
The Washerwomentt0000045,The Washerwomen,US,\N,\N,literal English title,0
The Boxing Kangaroott0000048,The Boxing Kangaroo,US,\N,imdbDisplay,\N,0
Baby and Young Girlstt0000050,Baby and Young Girls,US,\N,\N,literal English title,0
The Bohemian Encampmenttt0000051,The Bohemian Encampment,US,\N,\N,\N,0
Gypsies at Homett0000051,Gypsies at Home,US,\N,\N,literal English title,0
A Merry-Go-Roundtt0000054,A Merry-Go-Round,US,\N,\N,\N,0
Coronation of a Village Maidentt0000059,Coronation of a Village Maiden,US,\N,\N,\N,0
Dancing Darkiestt0000060,Dancing Darkies,US,\N,imdbDisplay,\N,0
