titleId	title	region	language	types	attributes	isOriginalTitle
tt0000001	Carmencita	US	\N	imdbDisplay	\N	0
tt0000002	The Clown and His Dogs	US	\N	\N	literal English title	0
tt0000005	Blacksmith Scene	US	\N	imdbDisplay	\N	0
tt0000005	Blacksmithing Scene	US	\N	alternative	\N	0
tt0000005	Blacksmith Scene #1	US	\N	alternative	\N	0
tt0000005	Blacksmithing	US	\N	\N	informal alternative title	0
tt0000006	Chinese Opium Den	US	\N	imdbDisplay	\N	0
tt0000007	Corbett and Courtney Before the Kinetograph	US	\N	imdbDisplay	\N	0
tt0000007	The Corbett-Courtney Fight	US	\N	alternative	\N	0
tt0000007	Jim Corbett vs. Peter Courtney	US	\N	alternative	\N	0
tt0000008	Edison Kinetoscopic Record of a Sneeze, January 7, 1894	US	\N	\N	complete title	0
tt0000008	Edison Kinetoscopic Record of a Sneeze	US	\N	imdbDisplay	\N	0
tt0000008	The Films of Thomas A Edison presented by Raymond Rohauer	US	\N	\N	reissue title	0
tt0000009	Miss Jerry	US	\N	imdbDisplay	\N	0
tt0000010	Exiting the Factory	US	\N	imdbDisplay	\N	0
tt0000010	Leaving the Factory	US	\N	imdbDisplay	\N	0
tt0000010	Employees Leaving the Lumière Factory	US	\N	alternative	\N	0
tt0000010	Workers Leaving the Lumière Factory	US	\N	imdbDisplay	\N	0
tt0000012	The Arrival of a Train	US	\N	imdbDisplay	\N	0
tt0000012	The Arrival of the Mail Train	US	\N	alternative	\N	0
tt0000013	The Photographical Congress Arrives in Lyon	US	\N	imdbDisplay	\N	0
tt0000014	The Sprayer Sprayed	US	\N	alternative	\N	0
tt0000014	The Waterer Watered	US	\N	imdbDisplay	\N	0
tt0000014	The Sprinkler Sprinkled	US	\N	imdbDisplay	\N	0
tt0000014	Tables Turned on the Gardener	US	\N	alternative	\N	0
tt0000015	Around a Bathing Hut	US	\N	\N	literal English title	0
tt0000016	Boat Leaving the Port	US	\N	imdbDisplay	\N	0
tt0000022	The Blacksmiths	US	\N	\N	literal English title	0
tt0000022	Blacksmith Scene	US	\N	\N	\N	0
tt0000023	The Sea	US	\N	imdbDisplay	\N	0
tt0000026	The Messers. Lumière at Cards	US	\N	\N	\N	0
tt0000027	Cordeliers' Square in Lyon	US	\N	imdbDisplay	\N	0
tt0000028	Fishing for Goldfish	US	\N	imdbDisplay	\N	0
tt0000029	Baby's Dinner	US	\N	\N	\N	0
tt0000029	Baby's Lunch	US	\N	\N	original script title	0
tt0000029	Feeding the Baby	US	\N	\N	\N	0
tt0000029	Baby's Meal	US	\N	imdbDisplay	\N	0
tt0000031	Jumping the Blanket	US	\N	imdbDisplay	\N	0
tt0000033	Trick Riding	US	\N	\N	\N	0
tt0000033	Horse Trick Riders	US	\N	imdbDisplay	\N	0
tt0000035	Watering the Flowers	US	\N	\N	\N	0
tt0000036	Awakening of Rip	US	\N	imdbDisplay	\N	0
tt0000037	Sea Bathing	US	\N	imdbDisplay	\N	0
tt0000038	The Ball Game	US	\N	imdbDisplay	\N	0
tt0000040	Boat Leaving the Harbor at Trouville	US	\N	\N	literal English title	0
tt0000041	Snowball Fight	US	\N	\N	informal English title	0
tt0000045	The Washerwomen	US	\N	\N	literal English title	0
tt0000048	The Boxing Kangaroo	US	\N	imdbDisplay	\N	0
tt0000050	Baby and Young Girls	US	\N	\N	literal English title	0
tt0000051	The Bohemian Encampment	US	\N	\N	\N	0
tt0000051	Gypsies at Home	US	\N	\N	literal English title	0
tt0000054	A Merry-Go-Round	US	\N	\N	\N	0
tt0000059	Coronation of a Village Maiden	US	\N	\N	\N	0
tt0000060	Dancing Darkies	US	\N	imdbDisplay	\N	0
tt0000067	Conjurer Making Ten Hats in Sixty Seconds	US	\N	\N	\N	0
tt0000068	Unloading the Boat	US	\N	\N	\N	0
tt0000069	Post No Bills	US	\N	\N	\N	0
tt0000069	Defense Show	US	\N	\N	literal English title	0
tt0000070	Demolition of a Wall	US	\N	imdbDisplay	\N	0
tt0000071	Automobiles Starting a Race	US	\N	imdbDisplay	\N	0
tt0000072	Officers of French Army Leaving Service	US	\N	imdbDisplay	\N	0
